subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77111,DSS2-77111-353626070748897,Create_Daily_BasalCrCf_Profile,DSS2_77111_Profile_Parameter_Schedule,0 13 ? Jan-June SAT 2021,Every Saturday 13:00 GMT,ENABLED,"{""thing_id"":""DSS2-77111-353626070748897"", ""subject_id"": ""77111"", ""request_length"": 41340, ""request_interval"": 5 }",thing_id:DSS2-77111-353626070748897 ; Schedule: Every SATURDAY 13:00 GMT - 08:00 EST - 09:00 EDT ; Dynamo DB data-type 'profile' 
77112,DSS2-77112-353627071177953,Calculate_Engagement_Metric,DSS2_77112_Engagement_Metric_Schedule,52 5 * * ? *,Every day 5:52 GMT,ENABLED,"{""thing_id"":""DSS2-77112-353627071177953"", ""subject_id"":""77112""}",thing_id:DSS2-77112-353627071177953 ; Schedule: 05:52 GMT -  00:52 EST - 01:52 EDT ; Dynamo DB data-type 'engagement_metric'
77112,DSS2-77112-353627071177953,PredictAdvisoryParams,DSS2_77112_Advisory_Parameter_Schedule,15 9 * * ? *,Every day 9:15 GMT,ENABLED,"{""thing_id"":""DSS2-77112-353627071177953"", ""subject_id"":""77112""}",thing_id:DSS2-77112-353627071177953 ; Schedule: 09:15 GMT - 04:15 EST - 05:15 EDT  ; Dynamo DB data-type 'advisory'
77112,DSS2-77112-353627071177953,Create_Daily_Basal_Profile,DSS2_77112_Daily_Basal_Schedule,30 20 * * ? *,Every day 20:30 GMT,ENABLED,"{""thing_id"":""DSS2-77112-353627071177953"", ""subject_id"": ""77112"", ""request_length"": 2910, ""request_interval"": 5 }",thing_id:DSS2-77112-353627071177953 ; Schedule: 20:30 GMT - 15:30 EST - 16:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77112,DSS2-77112-353627071177953,Create_Daily_SI_Params,DSS2_77112_Daily_SIParams_Schedule,50 20 * * ? *,Every day 20:50 GMT,ENABLED,"{""thing_id"":""DSS2-77112-353627071177953"", ""subject_id"": ""77112"", ""request_length"": 2930, ""request_interval"": 5 }",thing_id:DSS2-77112-353627071177953 ; Schedule: 20:50 GMT - 15:50 EST - 16:50 EDT ; Dynamo DB data-type 'dailysiparams'
77112,DSS2-77112-353627071177953,Create_Daily_BasalCrCf_Profile,DSS2_77112_Profile_Parameter_Schedule,30 13 ? Nov-Jan MON 2020-2021,Every Monday 13:30 GMT,ENABLED,"{""thing_id"":""DSS2-77112-353627071177953"", ""subject_id"": ""77112"", ""request_length"": 41370, ""request_interval"": 5 }",thing_id:DSS2-77112-353627071177953 ; Schedule: Every MONDAY 13:30 GMT - 08:30 EST - 09:30 EDT ; Dynamo DB data-type 'profile'
77113,DSS2-77113-353627072203055,Calculate_Engagement_Metric,DSS2_77113_Engagement_Metric_Schedule,54 5 * * ? *,Every day 5:54 GMT,ENABLED,"{""thing_id"":""DSS2-77113-353627072203055"", ""subject_id"":""77113""}",thing_id:DSS2-77113-353627072203055 ; Schedule: 05:54 GMT -  00:54 EST - 01:54 EDT ; Dynamo DB data-type 'engagement_metric'
77113,DSS2-77113-353627072203055,PredictAdvisoryParams,DSS2_77113_Advisory_Parameter_Schedule,30 9 * * ? *,Every day 9:30 GMT,ENABLED,"{""thing_id"":""DSS2-77113-353627072203055"", ""subject_id"":""77113""}",thing_id:DSS2-77113-353627072203055 ; Schedule: 09:30 GMT - 04:30 EST - 05:30 EDT  ; Dynamo DB data-type 'advisory'
77113,DSS2-77113-353627072203055,Create_Daily_Basal_Profile,DSS2_77113_Daily_Basal_Schedule,0 21 * * ? *,Every day 21:00 GMT,ENABLED,"{""thing_id"":""DSS2-77113-353627072203055"", ""subject_id"": ""77113"", ""request_length"": 2940, ""request_interval"": 5 }",thing_id:DSS2-77113-353627072203055 ; Schedule: 21:00 GMT - 16:00 EST - 17:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77113,DSS2-77113-353627072203055,Create_Daily_SI_Params,DSS2_77113_Daily_SIParams_Schedule,20 21 * * ? *,Every day 21:20 GMT,ENABLED,"{""thing_id"":""DSS2-77113-353627072203055"", ""subject_id"": ""77113"", ""request_length"": 2960, ""request_interval"": 5 }",thing_id:DSS2-77113-353627072203055 ; Schedule: 21:20 GMT - 16:20 EST - 17:20 EDT ; Dynamo DB data-type 'dailysiparams'
77113,DSS2-77113-353627072203055,Create_Daily_BasalCrCf_Profile,DSS2_77113_Profile_Parameter_Schedule,0 13 ? Jan-June TUE 2021,Every Tuesday 13:00 GMT,ENABLED,"{""thing_id"":""DSS2-77113-353627072203055"", ""subject_id"": ""77113"", ""request_length"": 41340, ""request_interval"": 5 }",thing_id:DSS2-77113-353627072203055 ; Schedule: Every TUESDAY 13:00 GMT - 08:00 EST - 09:00 EDT ; Dynamo DB data-type 'profile' 
