Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Yogurts,"Blended, Plain",150,13.0,4.0,17.0,68.0,52.0,36.0,156.0,0.23076923076923078,0.4358974358974359,0.3333333333333333,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-blended-plain/Tv5FYJQ9TgWhvUDJNkwCEw
Kroger,Deli & Luncheon Meat,Cooked Ham Water Added,25,4.0,1.0,0.0,0.0,16.0,9.0,25.0,0.36,0.0,0.64,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-cooked-ham-water-added/QTazueYESsiNYCU-ol75vw
Kroger,Yogurts,"Blended Yogurt, average all brands (east coast)",190,8.0,2.0,35.0,140.0,32.0,18.0,190.0,0.09473684210526316,0.7368421052631579,0.16842105263157894,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-blended-yogurt-average-all-brands-east-coast/T5OfK2B9RjSEnlJsTjMfrg
Kroger,Cheese,"Mozzarella Low Moisture Part Skim, 16oz",80,7.0,6.0,0.5,2.0,28.0,54.0,84.0,0.6428571428571429,0.023809523809523808,0.3333333333333333,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-mozzarella-low-moisture-part-skim-16oz/ceCR2GKOSi62CoVzHqKchg
Kroger,Deli & Luncheon Meat,Sliced Turkey,120,12.0,7.0,2.0,8.0,48.0,63.0,119.0,0.5294117647058824,0.06722689075630252,0.40336134453781514,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-sliced-turkey/D0R072oDSti2nqt-Kx2B-w
Kroger,Yogurts,Lite: French Apple Pie (west coast),96,9.0,0.0,15.0,60.0,36.0,0.0,96.0,0.0,0.625,0.375,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-lite-french-apple-pie-west-coast/05TgfVGRSF-8Wlx2DH22Aw
Kroger,Cookies,"Chip Mates, Original",120,1.0,6.0,16.0,64.0,4.0,54.0,122.0,0.4426229508196721,0.5245901639344263,0.03278688524590164,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-chip-mates-original/zIynVMzwTayCxZOGpzd2Zw
Kroger,Cottage Cheese,"Cottage Cheese, Fat Free",80,15.0,0.0,5.0,20.0,60.0,0.0,80.0,0.0,0.25,0.75,https://www.calorieking.com/us/en/foods/f/calories-in-cottage-cheese-cottage-cheese-fat-free/ZPb_eLLqQ8WvXl4y2inWOw
Kroger,Salad Dressings,Tomato Ketchup,16,0.0,0.0,4.0,16.0,0.0,0.0,16.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-tomato-ketchup/ipbV2N-cSZqLbPEnw6whbg
Kroger,Cheese,"Casserole, shredded",100,6.0,8.0,1.0,4.0,24.0,72.0,100.0,0.72,0.04,0.24,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-casserole-shredded/q1cpaOcWQpaXfIbJs923Fw
Kroger,Frozen Meals,Haddock Fillet,120,15.0,5.0,4.0,16.0,60.0,45.0,121.0,0.371900826446281,0.1322314049586777,0.49586776859504134,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-haddock-fillet/r5m7uQRfRAquDlWhz0LjPg
